name,Longitute,Latitude,,,Actual Points
Fernrock Station,40.0424752,-75.1439538,,,POINT (-75.1439538 40.0424752)
Fernrock <> Olney,40.0405726,-75.1439538,,,POINT (-75.14437 40.0405726)
Olney Transportation Center,40.0390775,-75.1439538,,,POINT (-75.1446922 40.0390775)
Olney <> Logan,40.035026,-75.1439538,,,POINT (-75.1455904 40.035026)
Logan Station,40.0304248,-75.1439538,,,POINT (-75.1465872 40.0304248)
Logan <> Wyoming ,40.0272766,-75.1439538,,,POINT (-75.1472298 40.0272766)
Wyoming Station,40.024559,-75.1439538,,,POINT (-75.147903 40.02455899999999)
Wyoming <> Hunting Park,40.0207953,-75.1439538,,,POINT (-75.1486701 40.0207953)
Hunting Park,40.0169295,-75.1439538,,,POINT (-75.1495004 40.0169295)
Hunting Park <> Erie,40.0134953,-75.1439538,,,POINT (-75.1502832 40.0134953)
Erie Station,40.0092289,-75.1439538,,,POINT (-75.1511967 40.0092289)
Erie <> Allegheny,40.0046935,-75.1439538,,,POINT (-75.1521826 40.0046935)
Allegheny Station,40.0014548,-75.1439538,,,POINT (-75.1528961 40.0014548)
Allegheny <> North Philadelphia,39.9984964,-75.1439538,,,POINT (-75.1535542 39.9984964)
North Philadelphia Station,39.9943604,-75.1439538,,,POINT (-75.1544551 39.9943604)
North Philadelphia <> Susquehanna ,39.990858,-75.1439538,,,POINT (-75.1552182 39.990858)
Susquehanna-Dauphin Station,39.987022,-75.1439538,,,POINT (-75.156027 39.987022)
Susquehanna <> Cecil ,39.9832042,-75.1439538,,,POINT (-75.1568798 39.9832042)
Cecil B. Moore Station,39.9787028,-75.1439538,,,POINT (-75.1578545 39.9787028)
Cecil <> Girard,39.9744799,-75.1439538,,,POINT (-75.1587852 39.9744799)
Girad Station,39.9715248,-75.1439538,,,POINT (-75.1594298 39.9715248)
Girard <> Fairmount,39.9689841,-75.1439538,,,POINT (-75.1599807 39.9689841)
Fairmount Station,39.9666643,-75.1439538,,,POINT (-75.1604978 39.9666643)
Fairmount <> Spring Garden,39.9651599,-75.1439538,,,POINT (-75.1608281 39.9651599)
Spring Garden Station,39.962495,-75.1439538,,,POINT (-75.1614119 39.962495)
Spring Garden <> Race Vine,39.9604377,-75.1439538,,,POINT (-75.1618531 39.9604377)
Race Vine Station,39.9575529,-75.1439538,,,POINT (-75.162481 39.9575529)
Race Vine <> City Hall,39.9556958,-75.1439538,,,POINT (-75.1628599 39.9556958)
City Hall Station,39.9523829,-75.1439538,,,POINT (-75.1635806 39.9523829)
City Hall <> Walnut-Locust,39.9504228,-75.1439538,,,POINT (-75.164023 39.9504228)
Walnut-Locust Station,39.9493557,-75.1439538,,,POINT (-75.1642543 39.9493557)
Walnut-Locust <> Lombard,39.9469826,-75.1439538,,,POINT (-75.1647703 39.9469826)
Lombard South Station,39.9436531,-75.1439538,,,POINT (-75.1654994 39.9436531)
Lombard <> Ellsworth,39.9400381,-75.1439538,,,POINT (-75.166294 39.9400381)
Ellsworth-Federal Station,39.936189,-75.1439538,,,POINT (-75.16713039999999 39.936189)
Ellsworth <> Tasker Morris,39.932928,-75.1439538,,,POINT (-75.1678402 39.932928)
Tasker Morris Station,39.9298092,-75.1439538,,,POINT (-75.1685188 39.9298092)
Tasker <> Snyder,39.9274611,-75.1439538,,,POINT (-75.1690281 39.9274611)
Snyder Station,39.9243638,-75.1439538,,,POINT (-75.1697031 39.9243638)
Snyder <> Oregon,39.9194014,-75.1439538,,,POINT (-75.1707787 39.9194014)
Oregon Station,39.9168323,-75.1439538,,,POINT (-75.1713375 39.9168323)
Oregon <> NRG,39.9129888,-75.1439538,,,POINT (-75.1721568 39.9129888)
NRG Station,39.9054399,-75.1439538,,,POINT (-75.1739258 39.9054399)
